Actor,Character(s),Count
Jon Lovitz,Artie Ziff,6
Jon Lovitz,Enrico Irritazio,6
Jon Lovitz,Jay Sherman,6
Jon Lovitz,Llewellyn Sinclair and Mrs. Sinclair,6
Jon Lovitz,Professor Lombardo,6
Julie Kavner,Great Mom,6
Julie Kavner,Jacqueline Bouvier,6
Julie Kavner,Marge Simpson,6
Julie Kavner,Patty Bouvier,6
Julie Kavner,Selma Bouvier,6
Julie Kavner,Sideshow Mel's wife,6
Karl Wiedergott,Bill Clinton,6
Karl Wiedergott,Jimmy Carter,6
Karl Wiedergott,Kermit the Frog,6
Karl Wiedergott,Legs,6
Karl Wiedergott,Michael Jackson,6
Karl Wiedergott,Ned Flanders [one episode],6
Russi Taylor,Lewis,6
Russi Taylor,Martin Prince,6
Russi Taylor,Sherri,6
Russi Taylor,Terri,6
Russi Taylor,Üter Zörker,6
Russi Taylor,Wendell Borton,6
Yeardley Smith,Angelica Button,6
Yeardley Smith,Cecile Shapiro,6
Yeardley Smith,Eliza Simpson,6
Yeardley Smith,Grandma Flanders,6
Yeardley Smith,Lisa Simpson,6
Yeardley Smith,Maggie Simpson,6
Albert Brooks,Brad Goodman,5
Albert Brooks,Cowboy Bob,5
Albert Brooks,Hank Scorpio,5
Albert Brooks,"Jacques ""Brunswick""",5
Albert Brooks,Tab Spangler,5
Christopher Collins,America's Most Armed and DangerousHost,3
Christopher Collins,Moe Szyslak,3
Christopher Collins,Mr. Burns,3
Frank Welker,Santa's Little Helper,3
Frank Welker,Snowball II,3
Frank Welker,Various other animals,3
Marcia Mitzman Gaven,Elizabeth Hoover,3
Marcia Mitzman Gaven,Helen Lovejoy,3
Marcia Mitzman Gaven,Maude Flanders,3
Maurice LaMarche,Cap'n Crunch,3
Maurice LaMarche,Toucan Sam,3
Maurice LaMarche,Various other characters,3
Phil Hartman,Fat Tony [one episode],3
Phil Hartman,Lionel Hutz,3
Phil Hartman,Troy McClure,3
Doris Grau,Lunchlady Doris,1
Glenn Close,Mona Simpson,1
Jackie Mason,Rabbi Krustofski,1
Jan Hooks,Manjula Nahasapeemapetilon,1
Jane Kaczmarek,Judge Constance Harm,1
Jo Ann Harris,Various,1
Joe Mantegna,Fat Tony,1
Kelsey Grammer,Sideshow Bob,1
Marcia Wallace,Edna Krabappel,1
Stephen Hawking,Himself,1
